,Time,Peaks Amplitude,Intervals
MeanVar1,530.69625,0.5430045818705376,0.19525000000010095
MeanVar1,530.8915000000001,0.5678363031592456,0.19324999999992087
MeanVar1,531.08475,0.5964077052604442,0.1947499999999991
MeanVar1,531.2795,0.5448510688260706,0.1955000000000382
MeanVar1,531.475,0.5632645887966499,0.1927499999999327
MeanVar1,531.66775,0.5642208102446458,0.19525000000010095
MeanVar1,531.863,0.5441937790944363,0.19499999999993634
MeanVar1,532.058,0.5682411047110466,0.1922500000000582
MeanVar1,532.25025,0.5850623036229438,0.1954999999999245
MeanVar1,532.44575,0.554090870736136,0.1947499999999991
MeanVar1,532.6405,0.5670143955178328,0.19249999999999545
MeanVar1,532.833,0.5633804854085012,0.19575000000008913
MeanVar1,533.0287500000001,0.5423903159861998,0.1947499999999991
MeanVar1,533.2235000000001,0.5766382724344613,0.19249999999999545
MeanVar1,533.416,0.5777516334850661,0.1954999999999245
MeanVar1,533.6115,0.5487393968032299,0.19450000000006185
MeanVar1,533.806,0.5702886340450057,0.19200000000000728
MeanVar1,533.998,0.5558923102188709,0.1959999999999127
MeanVar1,534.194,0.5510024252203956,0.19425000000001091
MeanVar1,534.38825,0.579453428191256,0.19249999999999545
MeanVar1,534.58075,0.575778024875625,0.19575000000008913
MeanVar1,534.7765,0.5615579890279705,0.19399999999995998
MeanVar1,534.9705,0.5694908549632021,0.19275000000004638
MeanVar1,535.1632500000001,0.5512326196895161,0.19574999999997544
MeanVar1,535.359,0.5615286309491512,0.1934999999999718
MeanVar1,535.5525,0.5723478660598612,0.1934999999999718
MeanVar1,535.746,0.5727130944015504,0.1955000000000382
MeanVar1,535.9415,0.5799283510862181,0.19249999999999545
MeanVar1,536.134,0.5633789484920475,0.1947499999999991
MeanVar1,536.32875,0.5497327942570134,0.19500000000005002
MeanVar1,536.5237500000001,0.5760878595635829,0.19224999999994452
MeanVar1,536.716,0.5679501474911876,0.19500000000005002
MeanVar1,536.9110000000001,0.5708618499673572,0.1947499999999991
MeanVar1,537.1057500000001,0.5923574359828856,0.19174999999995634
MeanVar1,537.2975,0.5515126754463361,0.19624999999996362
MeanVar1,537.49375,0.5509796129691393,0.19425000000001091
MeanVar1,537.688,0.5880798162759715,0.19200000000000728
MeanVar1,537.88,0.5593258505617191,0.1955000000000382
MeanVar1,538.0755,0.5877347626939025,0.19375000000002274
MeanVar1,538.26925,0.5914671317435074,0.19249999999999545
MeanVar1,538.46175,0.542075012469304,0.19499999999993634
MeanVar1,538.65675,0.5755976595736134,0.1922500000000582
MeanVar1,538.849,0.5702144025026756,0.19499999999993634
MeanVar1,539.044,0.5548527023823571,0.1947499999999991
MeanVar1,539.23875,0.6010434309100998,0.19175000000007003
MeanVar1,539.4305,0.5861079732783039,0.1954999999999245
MeanVar1,539.626,0.5473575319158386,0.19375000000002274
MeanVar1,539.81975,0.581703495705824,0.19200000000000728
MeanVar1,540.01175,0.5530322348547222,0.1955000000000382
MeanVar1,540.20725,0.5678110055198831,0.19200000000000728
MeanVar1,540.39925,0.5842832263361434,0.1947499999999991
MeanVar1,540.594,0.5831277368615838,0.19425000000001091
MeanVar1,540.7882500000001,0.5743836233455338,0.19174999999995634
MeanVar1,540.98,0.5646450173168615,0.19574999999997544
MeanVar1,541.17575,0.5581739929213383,0.1934999999999718
MeanVar1,541.36925,0.5875937815743769,0.19275000000004638
MeanVar1,541.562,0.5647969397254016,0.19524999999998727
MeanVar1,541.75725,0.5949429775317634,0.19200000000000728
MeanVar1,541.94925,0.5577286437661741,0.19425000000001091
MeanVar1,542.1435,0.5506497978376396,0.19425000000001091
MeanVar1,542.33775,0.5840131599813806,0.19174999999995634
MeanVar1,542.5295,0.5649799807378983,0.1955000000000382
MeanVar1,542.725,0.5698456088266641,0.19375000000002274
MeanVar1,542.91875,0.6083467188979271,0.19224999999994452
MeanVar1,543.111,0.5438853892732585,0.19524999999998727
MeanVar1,543.30625,0.5737439040870873,0.1915000000000191
MeanVar1,543.49775,0.5730004583548751,0.19500000000005002
MeanVar1,543.69275,0.5564073236274598,0.19374999999990905
MeanVar1,543.8865,0.6043934306154894,0.19200000000000728
MeanVar1,544.0785,0.5847767084681355,0.19525000000010095
MeanVar1,544.2737500000001,0.550004035742407,0.19299999999998363
MeanVar1,544.46675,0.5789376465192346,0.19324999999992087
MeanVar1,544.66,0.5529674235574014,0.1947499999999991
MeanVar1,544.85475,0.5813263592092817,0.1915000000000191
MeanVar1,545.04625,0.587289074615686,0.19524999999998727
MeanVar1,545.2415,0.5814947101714539,0.1935000000000855
MeanVar1,545.4350000000001,0.5746925151604214,0.19224999999994452
MeanVar1,545.62725,0.5546020527256856,0.19500000000005002
MeanVar1,545.82225,0.5751309468457122,0.1914999999999054
MeanVar1,546.01375,0.5737922885383449,0.19500000000005002
MeanVar1,546.20875,0.5793059500137288,0.19375000000002274
MeanVar1,546.4025,0.6077585097553397,0.1915000000000191
MeanVar1,546.594,0.5523766216402548,0.19499999999993634
MeanVar1,546.789,0.571579215274874,0.19200000000000728
MeanVar1,546.981,0.5764012422838816,0.19450000000006185
MeanVar1,547.1755,0.5599030142741759,0.19324999999992087
MeanVar1,547.36875,0.6193796605723649,0.19175000000007003
MeanVar1,547.5605,0.5745376874212211,0.19499999999993634
MeanVar1,547.7555,0.5608619625079638,0.19175000000007003
MeanVar1,547.94725,0.5736925994524033,0.19449999999994816
MeanVar1,548.14175,0.5579570493047261,0.19399999999995998
MeanVar1,548.33575,0.5928059665269187,0.1915000000000191
